Fecha,Product/ Platform,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5,$,Min,$,$ TOTAL,R=1:5,R=1:10,1,3,5,30,35,40,48,Priority
ago - dic 2019,,Air dome,Ausente,"109,784",0,4,3,0,0,0,0,7,64,5,0.07,5,0.31,0.38,1,4,0,12,15,0,0,0,0,540
ago - dic 2019,,Air dome,Mal ensamble,"109,784",0,2,0,0,0,0,0,2,18,5,0.07,5,0.31,0.38,1,4,0,6,0,0,0,0,0,120
oct - dic 2018,,Air dome,Ausente,140470,0,2,6,0,0,0,0,8,57,,,,,,,,,,,,,,,
oct - dic 2018,,Air dome,Mal ensamble,140470,0,9,0,0,0,0,0,9,64,,,,,,,,,,,,,,,
oct - dic 2018,,Air dome,Dañados / quebrado,140470,0,3,1,0,0,0,0,4,28,,,,,,,,,,,,,,,
oct - dic 2018,,Amortiguadores ,dañado,140470,0,0,0,0,0,0,1,1,7,1,,,0,0,,,0,0,0,0,0,0,48,0
ago - dic 2019,,ARNES,Sin continuidad,"109,784",0,0,0,0,0,0,1,1,9,4,1.26,20,1.24,2.5,3,4,0,0,0,0,0,0,48,"2,304"
ago - dic 2019,,ARNES,Clip fuera de especificación,"109,784",0,2,0,0,0,0,0,2,18,5,1.26,20,1.24,2.5,3,4,0,6,0,0,0,0,0,360
ago - dic 2019,,ARNES,Terminal suelta,"109,784",4,0,0,0,0,0,0,4,36,5,1.26,20,1.24,2.5,3,4,4,0,0,0,0,0,0,240
ago - dic 2019,,ARNES,Fuera de especificación,"109,784",1,0,0,0,0,0,0,1,9,4,1.26,20,1.24,2.5,3,4,1,0,0,0,0,0,0,48
ago - dic 2019,,ARNES,Cable expuesto - recubrimiento corto,"109,784",1,0,0,0,0,0,0,1,9,4,1.26,20,1.24,2.5,3,4,1,0,0,0,0,0,0,48
mayo-julio 2018,Jaguar,ARNES ACTUADOR,Desconectado,"129,704",0,3,4,0,0,0,2,9,69,5,3.4,12,0.57,3.97,4,4,0,9,20,0,0,0,96,"10,000"
