RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM,,,,,,,,,,
A,ago - dic 2019,VÁLVULA,Quemada,109784,0,0,0,0,4,3,27,,,,,,,,,,
B,ago - dic 2019,VÁLVULA,No abre,109784,1,0,0,0,2,3,27,,,,,,,,,,
C,ago - dic 2019,VÁLVULA,Terminal deforme,109784,3,0,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,VÁLVULA,Terminal grande / Terminal larga,109784,3,0,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,VARILLAS DE SUSPENSIÓN,Equivocado,109784,0,3,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,ACTUATOR - SHIFT,Conector ausente / Omision ensamble,109784,2,0,0,0,0,2,18,,,,,,,,,,
B,ago - dic 2019,ACU,Dañado,109784,5,0,0,0,1,2,18,,,,,,,,,,
C,ago - dic 2019,ACU,Agitacion CWW / falla agitación motor,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,ACU,Bomba de vacio,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,ACU,CCW corriente,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,ACU,Falla en llenado,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,ACU,Falta de pin / pin dañado,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,ACU,Nivel de agua,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Air dome,Mal ensamble,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,ARNES,Clip fuera de especificación,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Arnes cable de tierra,Conector con rebaba,109784,0,1,1,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Arnes cable de tierra,Dañado,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,ARNES DE CAPACITOR,Conector con rebaba,109784,0,1,1,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Auger agitador,Ausente,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,BASE PROT-PACKAGIN,Fuera de especificación,109784,2,0,0,0,0,2,18,,,,,,,,,,
B,ago - dic 2019,BOMBA,Dañado,109784,0,0,0,0,2,2,18,,,,,,,,,,
C,ago - dic 2019,BOMBA,Mal ensamble,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,BOMBA,Manguera mal ensamblada,109784,0,0,2,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,BOMBA,Tornillo ausente,109784,0,1,1,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Bracket housing,Pestaña deforme,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Bracket housing,Tornillo barrido,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Cable poder,Clip sin ensamblar,109784,0,0,2,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,CAM SPLUTCH,Quebrado,109784,0,1,0,0,1,2,18,,,,,,,,,,
C,ago - dic 2019,Canasta drum,Fuera de especificación,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Canasta drum,Golpeado,109784,0,1,1,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,CAP HINGE,Quebrado,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,CAPACITOR,Fuera de especificación,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Cover hinge LH y RH,Rebaba,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Cover hinge LH y RH,Tiro corto,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,COVER PULLEY,Ausente,109784,0,0,2,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,DISPENSADOR,Falta de syphon,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,DISPENSADOR,No de parte equivocado,109784,0,0,2,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,DISPENSADOR,Tornillo ausente,109784,0,0,2,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Dispenser sencillo,Ausente,109784,0,0,2,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Etiqueta capacidad,Ausente,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Fascia,Perilla número de parte equivocado,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Fascia,Poste quebrado,109784,2,0,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Gabinetes,Deforme,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,Impeller,Mal ensamble,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,LABEL SCALE LEVEL,Mal posicionado,109784,0,2,0,0,0,2,18,,,,,,,,,,
C,ago - dic 2019,LID,Golpeado,109784,0,0,2,0,0,2,18,,,,,,,,,,
